drug_row,drug_col,cell_line_name,drug_row_cid,drug_col_cid,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,label
5-FU,ABT-888,A375,3385,11960529,-0.148907771,1.083539986,-20.95011656,-2.137572893,19.21375,Additive
AZD1775,ABT-888,A375,24856436,11960529,6.657356354,6.677769457999999,-45.98486266,3.8965457569999997,18.034375,Additive
BORTEZOMIB,ABT-888,A375,387447,11960529,2.631290542,1.52754648,-56.75364545,-0.5526095679999999,17.09175,Additive
DASATINIB,ABT-888,A375,3062316,11960529,3.2036034030000002,4.7053527189999995,-33.24511804,1.705497857,21.759875,Additive
DEXAMETHASONE,ABT-888,A375,5743,11960529,5.910525532,9.594765279,5.4102459089999995,5.203283142,6.68625,Synergy
ETOPOSIDE,ABT-888,A375,36462,11960529,4.258579995,2.72896145,-32.65953819,0.43421585700000004,11.63775,Additive
LAPATINIB,ABT-888,A375,208908,11960529,1.259046325,-1.799161372,-4.528789274,-5.354700017,0.765125,Additive
METFORMIN,ABT-888,A375,4091,11960529,2.092428241,-3.1596950980000003,-6.867148468,-6.823981599,-2.6489999999999996,Additive
MK-2206,ABT-888,A375,24964624,11960529,9.724049015,9.581372003,7.208317387,5.939781018,2.92325,Synergy
MK-5108,ABT-888,A375,24748204,11960529,6.967585419,15.52004004,6.519880109,11.83748368,14.7395,Synergy
PD325901,ABT-888,A375,9826528,11960529,3.032142302,1.456699919,-24.54319127,-0.368903518,-5.137125,Additive
TEMOZOLOMIDE,ABT-888,A375,5394,11960529,18.37277531,16.88460241,13.23192929,13.52256995,21.637375,Synergy
ZOLINZA,ABT-888,A375,5311,11960529,1.5904475580000002,-1.398557483,-42.69770331,-4.193311143,33.239125,Additive
5-FU,AZD1775,A375,3385,24856436,4.677378900000001,3.760816297,-0.840317399,7.146155604,33.5915,Additive
DEXAMETHASONE,AZD1775,A375,5743,24856436,6.028306382,6.700475107000001,-46.31050364,3.5811288689999996,16.843875,Additive
ETOPOSIDE,AZD1775,A375,36462,24856436,6.334668505,6.389252696000001,7.810534856,12.51408974,9.135125,Synergy
METFORMIN,AZD1775,A375,4091,24856436,5.1118450189999995,4.332219708,-32.00067046,4.761615279,19.720125,Additive
TEMOZOLOMIDE,AZD1775,A375,5394,24856436,6.507941269,7.567123303,-9.447405864,9.754797977,24.484875,Additive
ZOLINZA,AZD1775,A375,5311,24856436,9.780321074,8.715178694,7.228376736,12.17523573,47.670875,Synergy
5-FU,BEZ-235,A375,3385,11977753,3.6958586560000004,2.280654718,0.373291262,5.746658192999999,19.712125,Synergy
ABT-888,BEZ-235,A375,11960529,11977753,13.66542985,13.190270199999999,-29.69790992,10.92664084,18.935125,Additive
AZD1775,BEZ-235,A375,24856436,11977753,16.41628758,15.48664672,16.45265624,21.39086249,22.302125,Synergy
BORTEZOMIB,BEZ-235,A375,387447,11977753,4.968270481,4.747786556,4.735000067,6.86092696,4.2995,Synergy
DASATINIB,BEZ-235,A375,3062316,11977753,12.69625614,12.55056453,14.35445463,17.73672558,21.867375,Synergy
